subject_id,understood,age,gender,comments
12351167-0887-45d4-9281-17bef3ea46a3,yes,36,male,"No, but it was fun"
fab71802-57c6-46ce-a553-7426c03cb3d4,yes,30,male,
6aa088a1-076a-44de-aaf6-dcf4ba6696dc,yes,24,female,
24036e11-b1e4-4048-9e4e-e2088498c673,yes,41,female,
3791afbd-13bc-4a4f-93d6-f77659078cdc,yes,64,male,
997154ae-fb00-4592-8095-c8fd55465122,yes,38,female,
3a9ae53f-641d-46b6-9e77-0abce150b223,yes,40,male,
3c728516-7dcc-47b7-a6af-c46b346951da,yes,45,female,
e85a35a1-9517-4102-ac0b-157c11efa3d7,yes,60,female,
934700b0-397c-47b6-b222-62363132f08f,yes,47,male,
934c7112-0d9a-4ba9-88f8-1e6bc54f0089,yes,36,female,
8ee65151-1020-4c7c-87cf-155cf226ca79,yes,25,male,no comment
554f1cae-641e-44f7-9d13-11ae3b69924b,yes,45,male,
7b406870-8e38-481a-a678-4ca92b11e4bd,yes,36,male,
78d266ed-7baf-44fa-8545-93200a473b06,yes,46,male,
810093d6-f395-4355-a219-0ae2d5e8e6bb,yes,25,male,
c582800d-6996-49cf-81da-d596458ce31d,yes,31,male,No
24577c6d-6b1c-4c38-9b62-edc8b9e999a0,yes,73,female,No
09c8996f-04c8-4612-aec3-0930a5f8e014,yes,39,female,
957c6e26-3a96-4120-b9f2-f412160c70bc,yes,42,male,na
8c6eed1d-1f50-472b-a06a-84ff5f456458,yes,51,male,
c5a4bf85-cd11-4581-8e42-9ebfc730a176,yes,48,female,Jesus died for our sins because He loves us.
b843d600-cbe3-4d21-beae-381d054b48f5,yes,34,male,
1ee53e82-577e-46ac-accd-d4db1fc57c80,yes,47,male,"Thanks, it was fun to play along."
49d0d9b8-4dc2-4def-bb77-199af3c3b4be,yes,50,male,none
c38d5079-a2c7-4f76-bcee-9ae3672e4aa2,yes,42,male,
2c57c225-b1cd-4199-ad03-e1cfddecfd05,yes,50,male,
e642d64d-0032-4574-a75e-695cd673ec36,yes,29,female,
c74e1228-67d5-4a7d-a1ab-cbea3d4c33de,yes,27,male,"i thought i got them all correct haha.
that was fun & an interesting study on how to describe something to people/group who are familiar with it vs not familiar with it. "
074e77d3-b2e4-4694-b249-3e76a8976871,yes,44,male,Thank you 
9517f0cb-bc3a-46ed-ab05-807cd4899b3b,yes,64,male,nice
ec539566-0acb-4e2a-b67a-0bac27e8a85a,yes,28,male,NO PLEASE
49cb0438-1e31-4003-8c16-5757f77b85d0,yes,30,female,NONE
7b988617-73d1-46ce-b86c-8e718f3fab27,yes,40,female,
aa9a968e-4d90-4be6-a90c-805120db03fd,yes,51,male,none
2bcfe149-2bac-40eb-8f46-f1d644314180,yes,31,male,none
40f6038f-35ac-4431-8cdf-1af70ca1e2ce,yes,34,male,
a6f566c0-bf8d-44a0-9c11-9264205947e8,yes,26,male,this study is very interesting.
d5d08d89-7f3d-4b75-861f-7cfaa9e4451e,yes,19,male,
03bdb931-aa2e-4da6-b689-e8a3226aa36c,yes,39,female,Thank you for having me for this unique and interesting study!
29221539-51ae-4cb2-aba5-5f3dbfcfa72a,yes,34,female,
de0a5901-0ee2-4ba9-a6e3-0300de756b1a,yes,52,male,none
9d2b45f5-4239-4298-b33f-652504a8d598,yes,26,female,
9c27e695-3250-47d5-942c-f7f84a845e92,yes,50,male,"Not bad! I found red started slower, but eventually caught on. Thanks!"
23332d94-d797-47d8-af27-d179fc5b03dc,yes,26,female,
048b4117-5a19-4d08-81fb-f375c66309f0,yes,44,female,
03ea8ae6-a3ba-43a7-8afb-bb456c6650d3,yes,37,female,
ec8aee06-1900-413a-b6fa-e6bce7e7cf8f,yes,43,male,That was pretty cool.
830866b8-1273-46a8-9aa3-cc873c1a497e,yes,43,female,
ead81222-4108-4a6d-a51a-6a45a374b269,yes,39,female,
46ccb952-4b48-4e05-921f-ed6ed46ba4c9,yes,38,female,This was a great study! Thanks and good luck!
3cfab2f1-e270-4f94-95d6-ffa95b321f71,yes,46,female,N/A
dd0ba769-3231-4384-936b-1e0cb5edea7c,yes,23,female,N/A
20882152-c648-4cc8-841d-9d7e861870fc,yes,64,female,
1d03438b-6d1d-49ca-9f92-8f3fbc1a471e,yes,43,male,
f7ae73a9-aca0-4401-beb4-ba7cff4ca348,yes,49,male,
59e0cac0-4b39-4495-a533-ad574bb8462c,yes,27,male,The comprehension checks need some work as the wording used is confusing.
d81f7b67-b325-42b8-8301-c646e4c17e3d,yes,21,female,
964b2b00-3d67-4aa4-a441-5d10f7068de1,yes,64,female,
dc9c3ccc-a1ae-4292-8a95-1aed07f62f4f,yes,23,female,Thank you this was interesting
