subject_id,understood,age,gender,comments
8cc90609-66df-48cf-9655-01515ad76410,yes,37,male,
de28c9e2-0d1d-4453-aa03-7c3026a63c88,yes,37,male,
4884791a-25bc-41da-b00b-f649a8b1606f,yes,38,male,
500cb5f7-e709-4d38-8dc5-6216558f9f06,yes,37,female,
59b54839-62ad-4cf3-b04c-eb1926b74410,yes,50,male,
caef54eb-6ee0-42a2-bbf5-5c3056bc695d,yes,32,male,
c9c2f067-a057-46ef-b67d-1cf446a8e82f,yes,31,female,Really interesting task.
211d92e6-4e14-45c7-98dc-f3fbef354e0b,yes,40,male,
eb799a52-7ed9-41ed-b3ca-617f3973f9ee,yes,33,female,
7df80dda-f81b-4ab9-8753-0a2e11f9df8d,yes,27,female,
c3d9f61d-5900-47ab-8061-82fbf79e03bf,yes,35,male,
46e3efc8-869d-4bcd-b078-2549b431c133,yes,42,female,
730f74fa-8cb2-4605-802c-557e83ec7c9e,yes,31,female,n/a.
ef61ee3b-a8bc-4229-8570-c98707ed0559,yes,29,female,
62dbb8cb-5d6c-4468-924e-b5ab7ba7b2ee,yes,30,male,
8961fd5b-f71e-4253-a74e-69c248311fd4,yes,45,female,
83a79cfa-0dd9-4b99-ac2b-e53d38d0ca9f,yes,32,female,
d1dc3e9e-4448-4bc5-9d0a-5eec8d8c9e15,yes,46,male,This was a very interesting study trying to figure out which picture belonged to the description.
98333694-1afe-4372-b66c-9c6931bd3b1e,yes,33,male,
2369c0c0-f1e0-46bf-9392-5747c2ef2739,yes,42,male,How many did I get right?
6184bafe-ae71-4381-ba10-fcf9c475e7cc,yes,36,male,
614ddd84-21f0-4dee-83a6-fe12b7c1061c,yes,43,male,
6ab1e873-9dde-4476-b2d9-29680d1b30cd,yes,31,male,
104a4c55-9191-4416-b268-1cdced6fdd78,yes,36,female,none
da8754af-1798-4565-8ff5-cd836635718a,yes,26,female,none
e847125c-6383-4bc1-9a42-d3bf861a14c2,yes,30,female,
cdeee62d-0b2d-4619-8379-7f136c9c6f90,yes,26,male,
bba2184a-9d2a-4210-a5c0-fa0d708fc1f6,yes,56,female,Interesting survey! Enjoyed it.
ce32b981-bec9-449c-a2ff-411a82da301a,yes,36,male,
bb1404ea-1490-4d1c-9c8b-b71497a3e5d7,yes,54,female,none
1b9c6922-e6bc-4062-a4fc-822e4f5a34df,yes,34,male,Great study.
98669117-219c-4558-adc3-ba16c915802a,yes,37,female,This was fun I really liked this one and merry Christmas hope you guys have a wonderful holiday
ab38739f-a8e1-4dba-833b-003b8923cea8,yes,35,male,
9af35e67-2ebe-4cdf-8895-047a0125c4e9,yes,30,male,
8d2b0bc1-3f44-4004-9de7-31d43e318ba3,yes,44,female,thanks
96cb4a7f-89ab-471b-9cab-2d3d42646933,yes,39,male,
4c6c9643-6c3d-4119-832c-5a3e978bb630,yes,27,nonconforming,
724f13c7-3704-42c5-a1ce-95eb9961c8bb,yes,52,male,
40086077-faae-4949-b736-e4a6255bba81,yes,33,female,
fc860683-cc0d-4d3f-a764-6dbe7a400b5e,yes,55,female,
03c82df6-92bb-45c1-8f11-ee8e8b7dcfe7,yes,33,male,I enjoyed this study. Very fun!
36c4b861-fb6b-4dd1-adb1-f5bcb48ffd78,yes,31,female,
7d2c0f29-2cd2-49be-9640-253f2e47ab54,yes,57,male,
9e62d9d4-279c-4de8-a781-9de22e290a3a,yes,39,male,
45088c21-3c1b-4e05-9d5b-64836c86f833,yes,30,male,
2eab8935-4712-4a19-8fb7-e094316d6ac0,yes,27,female,
9d8aec12-d001-4240-a1cf-23e6dfa5b158,yes,57,female,none
b20fbe40-dcb4-4cec-9038-8c8da2c8afef,yes,27,male,
4d916183-b034-4bfd-bedd-0e9bd87bf5c8,yes,24,female,
e39731d6-0b09-4573-ae4f-87fc6c68f170,yes,22,female,n/a
4984fbe2-0f33-43fa-b57e-2a6bc94a2585,yes,45,female,
f59f900f-97a9-401a-962e-70352a658951,yes,23,female,
ebbaad26-ce30-404d-a8b9-59c300a6eca3,yes,25,male,no
17199b46-80d3-44b6-8840-821ff084c397,yes,21,male,Thanks
c07765df-e840-4b22-b51a-48ae47cf05f6,yes,27,female,
c5185725-eca1-4f06-8da3-ffb83f0d252b,yes,22,female,
56ac59fa-c818-41e2-bfa3-6b1a95e2cfb4,yes,30,male,No
5257eddc-d52f-4712-953d-8bbd7ac350aa,yes,27,female,
986c7180-cfa6-4c30-ac10-20cae2549525,yes,25,female,
86532a0f-c466-490c-b3f3-dd4cf55acf34,yes,67,male,"this was an interesting study, I enjoyed it !"
e621dde7-a352-40e2-9f73-4c2c067ba4fa,yes,32,female,
2c03ec5b-24a0-4b03-8019-8ac1641594f8,yes,21,male,
8d63eee9-a76b-4055-b957-5f1ce0836b26,yes,28,female,
7fe929d4-29c8-412a-a79f-3e111bafb7bd,yes,38,female,no
24ab2880-ce23-4963-bf51-70ee3d083e14,yes,33,female,
bd0dbe85-31b6-4335-b81c-6fbca9d8ee1b,yes,69,female,
b916d2ec-c746-4122-9ffb-a2792e930424,yes,37,male,
88f6fba7-1903-40f1-a0fb-aa63099d8ac3,yes,61,female,
5a329c47-5a40-4ae0-ae36-d5f838cc1cd1,yes,32,female,
0a9071c2-1e72-48cc-8eae-c8f37432d300,yes,35,male,
91ec778b-96a9-4b0b-8212-a76dd75347e0,yes,38,male,No additional comments
fc7d4961-c845-4231-a8e2-4b6f7e819953,yes,22,male,Everything was perfect for me!
a97747f1-7f6f-4b0b-9b9b-dae31191506a,yes,41,male,
e3be9bd3-1dc6-4ae0-8fd7-155d7fd5ae55,yes,44,male,
1b0120bb-36b4-48b5-a501-0a4479965612,yes,24,female,
c4aa482e-97cc-42d6-9f2f-5511e67af00c,yes,54,male,
70cdd099-5bd1-4952-b95d-6245f6cb9cb9,yes,44,female,
4c099e04-7b4b-45f8-89e7-baed6c7948b0,yes,59,female,
3b824986-d539-4e09-aa7a-ece169feb39f,yes,33,male,
d14c1365-9077-4c70-a821-a0885dd72545,yes,28,female,
847cefd8-4ff0-4f7f-84f9-c1d1baaa283e,yes,30,female,
3231e32e-4727-4267-b2d1-05b2a46d532b,yes,36,female,"some of those descriptions were definitely a lot more detailed and precise than others, ha"
424f2e48-cbde-44c9-8b0f-cb4051810a0c,yes,33,male,Thank you!
b8724ee9-f11d-4f23-a2d1-2edb2000ddb4,yes,34,female,
3abc7748-0987-4af2-9345-a6224e810756,yes,51,female,
5bf3aec7-337d-4548-a020-978051b94a18,yes,47,female,
0a651813-6ce3-4fda-8f57-e9516483898c,yes,29,male,
89f9c097-8128-427e-a105-cf9381953289,yes,49,female,I liked this a lot! It was really fun.
47bf61aa-d2c0-44e5-94d4-d19d38da8ce7,yes,40,female,
114cc45d-f001-437e-8576-d42e023b3c54,yes,46,female,thanks for including me in your study/survey
2986c476-0032-41fe-9c50-b4cc42e40aa0,yes,34,female,none
4e463875-3ce0-4287-90a7-e312168dd944,yes,30,male,
24e9f882-c5ff-4484-b573-3cc3e712b18a,yes,30,female,no suggestions - was very entertaining 
dc5e820f-fd29-4918-a65a-e32ba292fdab,yes,46,female,
d016fe5a-1c5d-41ce-b70b-1be928f5d167,yes,39,male,
3908feb3-ff19-44c2-bb46-a050d9c8a783,yes,55,female,
6af83743-9aca-4d40-8ebc-d89db2b8ebe9,yes,62,female,
748184ac-ba98-48e1-9518-70f83eb8b187,yes,52,female,interesting images! good luck with your research!
e6b8e8df-c346-47b1-8dd8-47ecadce2ded,yes,27,male,
0f4ee6ca-172a-4863-ac0c-bb665d485548,yes,32,male,
5fd2f287-5136-43bc-8af4-3071deaebba9,yes,51,female,I do not have any additional comments or suggestions.
477b20d8-a8f9-4035-9d17-a14bc4e20b06,yes,45,female,Interesting..
dada3a5c-8ae6-4786-9568-9a3841da3bd3,yes,20,male,
90ef995d-b833-4b0d-866d-c068fe41857c,yes,27,male,
14f4f16a-4972-47e6-8810-9c1001e0f3ed,yes,43,female,
77b55021-2ac9-43dc-a190-8033443cdacf,yes,42,female,
8e008e1e-3ae2-47e9-a8d3-8021f661d15b,yes,52,female,
31e51fcd-4153-4656-a344-0b806c83a707,yes,50,male,
ff6b27e4-261e-4daa-bd13-c8e91f269ece,yes,50,female,that was HARD
a69ed65e-9064-414f-a640-8b3b6befe7f7,yes,50,female,
03437b2e-aab0-4a7f-a9bc-ea05f1813036,yes,53,female,
29aa795c-4ef8-4a32-97ee-538ab7c4aeb2,yes,22,male,Fun to do trying to figure out which matched the description.
95980701-9db6-42a7-b847-52d509b4de7c,yes,39,female,
d9d26c3f-87e0-471c-b8a7-3445d4bd6da8,yes,42,female,
1ca908e5-6adc-41c9-b30f-9b1d91d43b19,yes,36,male,
afa9fa5d-3619-488c-9934-87c8df9f5b60,yes,50,male,
4f821e47-01b3-4886-ad77-d0edfc5cbe24,yes,43,female,
517b9a23-bfa5-49a2-a8a6-4500b5ad187e,yes,18,male,
fe8768d9-50f0-4f64-976e-cef670dd91c3,yes,50,female,Interesting study.
4a783496-d734-42e7-9b4e-01eec094557b,yes,25,female,
258556e5-c511-449b-9c35-245ee8bfc0c5,yes,22,male,
4dfbbb58-76b9-4c72-af4d-580ace063d6a,yes,52,female,
f6a86ba5-54ab-4087-9d75-025af34ee553,yes,38,male,
accdfabc-a195-4171-90cc-4b1b2e7eb704,yes,50,male,none
5ead146d-ba46-40d9-bfde-40798a076be0,yes,36,female,
44d2a95d-eeb2-40b6-996b-09ad189e1aa9,yes,61,female,Some of this was very challenging!
873e35cc-2c9e-4912-8c2a-c551efb09c4b,yes,21,female,
dfed7f6e-50b9-4bbc-8196-afb872b4ff1d,yes,65,female,that's one crazy survey
d395c0ec-05e6-409e-aad1-0c650655ac50,yes,35,female,
43ff5620-19b5-4fd6-94a5-1a2c2c7af28d,yes,26,male,
51fbf03d-06d4-44fe-a62b-a1322989bed9,yes,23,female,
21a5fc8e-638a-49eb-96a1-e623c9d19111,yes,29,female,N/A.
808b551f-3be5-48b5-8b2c-6b1fa7a4b6e9,yes,37,male,
cb98c1c8-1f3e-47e2-bb9b-ef3614ca9450,yes,19,female,
56e605c9-4188-47fb-80c6-faa937b6f97d,yes,36,male,
3e66f1ed-bc6f-40d8-997a-f16cf0804b4e,yes,18,male,None
82cecf01-f214-4284-8fb2-f12ebc790989,yes,75,male,
7e0d82b4-776a-4c32-8b31-a30038c1dfa8,yes,31,female,That was fun
85eea21b-ae10-45c6-8655-b03523a2083c,yes,27,female,
08c1bd0e-f77f-4053-a50a-b8c0dd25199b,yes,55,female,
6c5f2691-c964-413c-9fec-a5af93bbe15d,yes,36,female,
61d19526-c1da-403c-a349-e6f7b0582d69,yes,18,female,
437d5c46-e1c1-4c02-bf5d-3c003a95e2bd,yes,30,male,
58f8b2c2-90ab-417b-9db8-47f23dc073f6,yes,31,female,
97dfe6dc-40c5-4227-8e99-2667d2b96958,yes,55,male,ITS AN INTERESTING STUDY
1cfa874d-bde3-4867-9fb8-e370bb6dcd6c,yes,55,male,
d9dd4b9f-ddfb-4ba7-abc9-b68a5e658182,yes,24,male,
2549b5cf-0942-4f19-81e7-6aee12b016d6,yes,48,female,
3e999b74-a389-407b-be40-b93d050a3e32,yes,23,female,
