subject_id,understood,age,gender,comments
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,yes,36,male,Great study. Thanks for sharing!
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,no,51,male,"none, thx"
72e751e5-081c-4550-bfcf-10f32f067bd1,yes,25,male,
8b962de8-f0d9-4e15-8def-14d5aec73270,yes,52,male,
be90a10e-60fc-46cd-8998-5e7af6aef5d7,yes,36,male,No. Thank you!
b04ed365-d9e5-4feb-85c6-0ce1879bb633,yes,52,male,
280bc3fa-25b7-4511-9b14-370c7f6618bf,yes,47,male,
69685d50-69ac-4764-87ef-614560d6de92,yes,30,female,
c4e9bbeb-9d66-40ab-8692-d303d0248abe,yes,53,male,No comments. 
b9ddfcf3-ce84-4acc-908c-030c70ba6d76,yes,19,male,"It was odd that two of them randomly said ""35"" and ""24"". Were they talking about their ages or something?"
f8cf38ed-47d2-4f27-8778-972e1317e1a4,yes,30,female,"This was enjoyable! It made sense that the players communicated more effectively as the rounds went on and were able to develop a ""code word"" for each design. This study was straightforward; best of luck with your work!"
463be21e-707c-4564-9362-c091a2096205,yes,32,female,
0ae2bbe1-1f01-4d2d-b5a6-1875211a0ae6,yes,21,female,
98d71364-5d4b-416c-aeb4-f665a97be311,yes,44,nonconforming,Very fun and interesting task to be involved in. Thank you.
7ada0fda-ad75-4b66-82ae-bf3e774d0f61,yes,23,male,
6a5ab152-0d85-4706-9dea-d1a0099b5057,yes,22,female,
43b47783-2086-4f22-827f-cd9c3b111287,yes,19,male,Nope! everything was great!
6bc7faed-d9c9-4fb8-9dcc-a941e5e3e82a,yes,37,female,
fe38add6-d778-494c-a8d5-9a4c057e6506,yes,56,male,
d2531234-8466-49b9-aad5-16245c512f26,yes,51,male,Everything went fine with no issues.
906d656b-acc6-4e9e-abf4-93e2c342f477,yes,55,female,
d4b15939-4780-4934-b8af-9c1de3e080b2,yes,38,male,That was a very enjoyable study to participate in. Thank you. Some of the nicknames the groups came up with were funny.
8d8761cb-01a6-438e-8ff9-66163fe232bc,yes,67,female,
ca6e6267-7bd2-4503-9a22-3983cb3e6035,yes,33,female,Thank you!
d6a25ded-b6f8-4ed0-8528-4ab1843b3a05,yes,40,female,
2138c0d9-82dc-4000-9e09-be99ba719b01,yes,22,nonconforming,I thought it would've been nice to be able to scroll the conversation logs between players or replay them. Sometimes they felt to fast or had a lot of words that I wanted to reread.
64596e8e-2a3b-4123-a6d9-acb635caee34,yes,30,female,"no, thank you"
0a9baafd-cf22-48e6-b994-1baf9dc2e0ec,yes,25,male,The study was fun and engaging as well.
2700b8e7-df5b-4827-992f-6c0badf3313e,yes,22,male,
f3faea70-8161-42ba-848a-8dd182144f6a,yes,57,female,Great study! I enjoyed taking it.
dc98a577-dc27-4464-87b7-e4d0a2a22db1,yes,58,female,
11291a2f-4c34-4eba-bfa8-6d39ab0132ff,yes,39,male,NO
ae7df5ec-5e43-4270-a017-904bfc023635,yes,41,female,
1f9bdce0-e782-496b-b820-c448fa243f5b,yes,33,female,This was a lot of fun and super interesting! I really enjoyed it.
1a9cfa82-1462-4450-8526-2b50bf1a47ab,yes,29,male,
abe8afb6-f02f-488b-9497-edfdae627563,yes,20,female,
2e1f452b-4cd7-4176-8ab3-714cca35dc97,yes,54,male,Na
c27274bf-dc1d-4d0b-aa92-3364de400c2b,yes,36,male,What a great and entertaining survey. more of these. Great study.
64aec505-9e1d-405c-b766-ef263d9d9bb3,yes,43,male,Very interesting study.  Thank you for letting me participate.
3a99d374-4b5a-4b33-a5a9-79ed2d9c2b80,yes,38,male,
cf66fb3e-ea86-420d-a456-2a04c785aadd,yes,23,male,As the communication continued for some time they are became familiar with they words or description 
18804f84-0a3f-42f8-9a42-e9564e9d80cd,yes,32,male,No
cde2dc6c-9f1d-42ea-aba0-f1ff955b9a05,yes,37,female,
ce7b9dc5-84ce-45b2-8fa1-d68c64918e71,yes,24,female,
60750114-e61c-4c2f-a887-2ba758a20e38,yes,32,male,
cbbd2806-dde8-473d-976c-46c93805bb31,yes,51,male,none
9860cb52-b55d-45d0-8281-9800165f0053,yes,29,female,
3aa43b3c-2674-4986-a95d-3610b89c6f52,yes,24,female,"fun survey! good pay as well, thank you"
cadc4cbf-b930-4538-b0e0-361d87aecad1,yes,53,female,Fun game
b0b4ba5b-420e-493c-8014-f2e30d8b4db5,yes,23,male,interesting 
5df48611-f2f9-4b10-ad3e-036b97e246cd,yes,50,male,interesting
55742776-1a16-45a5-b784-29e85a932109,yes,47,female,
260fbd3c-0113-48cd-aab6-b893890498d1,yes,24,male,
a0922d10-2352-4dfa-9803-ddce56e2d0ea,yes,32,female,
d7daaeab-19e4-4b86-bbf4-b23a88d74478,yes,35,female,
01fc0d08-2867-4e60-ab28-532801940e81,yes,49,male,Thanks for giving out the full bonus to everyone. That is very generous of you.
62990ce9-4170-40d7-8534-9eb88a651a81,yes,50,male,The study was nice and educative.
429c2ac6-7faa-46ca-a131-cad35abb040c,yes,29,male,"Very interesting study, I'd love to do a similar experiment in the future!"
3367e15f-c783-4731-9454-3cc64e545edc,yes,22,female,
515300d2-a1e4-43f4-8e89-be988db38c8d,yes,23,female,
bbecb93f-4c94-498e-9bff-ea35d6dff11b,yes,25,female,
